"Country","membership_status","Species.New","Year","value"
"Marshall Islands ","member","Rhincodon typus","2012",1
"Nauru ","member","Rhincodon typus","2012",1
"New Zealand ","member","Rhincodon typus","2012",1
"Niue ","member","Rhincodon typus","2012",1
"Palau ","member","Rhincodon typus","2012",1
"Papua New Guinea ","member","Rhincodon typus","2012",1
"Cook Islands","member","Rhincodon typus","2012",1
"Samoa ","member","Rhincodon typus","2012",1
"Solomon Islands ","member","Rhincodon typus","2012",1
"Australia ","member","Rhincodon typus","2012",1
"Tonga","member","Rhincodon typus","2012",1
"Tuvalu ","member","Rhincodon typus","2012",1
"Kiribati ","member","Rhincodon typus","2012",1
"Vanuatu ","member","Rhincodon typus","2012",1
"Micronesia","member","Rhincodon typus","2012",1
"Fiji ","member","Rhincodon typus","2012",1
"Marshall Islands ","member","Rhincodon typus","2013",1
"Nauru ","member","Rhincodon typus","2013",1
"New Zealand ","member","Rhincodon typus","2013",1
"Niue ","member","Rhincodon typus","2013",1
"Palau ","member","Rhincodon typus","2013",1
"Papua New Guinea ","member","Rhincodon typus","2013",1
"Cook Islands","member","Rhincodon typus","2013",1
"Samoa ","member","Rhincodon typus","2013",1
"Solomon Islands ","member","Rhincodon typus","2013",1
"Australia ","member","Rhincodon typus","2013",1
"Tonga","member","Rhincodon typus","2013",1
"Tuvalu ","member","Rhincodon typus","2013",1
"Kiribati ","member","Rhincodon typus","2013",1
"Vanuatu ","member","Rhincodon typus","2013",1
"Micronesia","member","Rhincodon typus","2013",1
"Fiji ","member","Rhincodon typus","2013",1
"USA","member","Carcharhinus longimanus","2012",1
"EU","member","Carcharhinus longimanus","2012",1
"Marshall Islands ","member","Carcharhinus longimanus","2012",1
"Nauru ","member","Carcharhinus longimanus","2012",1
"New Zealand ","member","Carcharhinus longimanus","2012",1
"Niue ","member","Carcharhinus longimanus","2012",1
"Palau ","member","Carcharhinus longimanus","2012",1
"Papua New Guinea ","member","Carcharhinus longimanus","2012",1
"Cook Islands","member","Carcharhinus longimanus","2012",1
"Samoa ","member","Carcharhinus longimanus","2012",1
"Solomon Islands ","member","Carcharhinus longimanus","2012",1
"Australia ","member","Carcharhinus longimanus","2012",1
"Tonga","member","Carcharhinus longimanus","2012",1
"Tuvalu ","member","Carcharhinus longimanus","2012",1
"Kiribati ","member","Carcharhinus longimanus","2012",1
"Vanuatu ","member","Carcharhinus longimanus","2012",1
"Micronesia","member","Carcharhinus longimanus","2012",1
"Fiji ","member","Carcharhinus longimanus","2012",1
