"CountryName","Species","consValue"
"Ireland","Carcharhinus longimanus",1
"Japan","Carcharhinus longimanus",0
"Liberia","Carcharhinus longimanus",1
"Mali","Carcharhinus longimanus",1
"Niger","Carcharhinus longimanus",1
"Nigeria","Carcharhinus longimanus",1
"Norway","Carcharhinus longimanus",1
"Panama","Carcharhinus longimanus",1
"Peru","Carcharhinus longimanus",1
"Russian Federation","Carcharhinus longimanus",0
"Saint Vincent and The Grenadines","Carcharhinus longimanus",0
"Singapore","Carcharhinus longimanus",0
"Switzerland","Carcharhinus longimanus",1
"United States","Carcharhinus longimanus",1
"Bolivarian Republic of Venezuela","Carcharhinus longimanus",1
"Argentina","Sphyrna spp.",1
"Australia","Sphyrna spp.",1
"Brazil","Sphyrna spp.",1
"Canada","Sphyrna spp.",1
"China","Sphyrna spp.",0
"Colombia","Sphyrna spp.",1
"Comoros","Sphyrna spp.",1
"Congo","Sphyrna spp.",1
"The Democratic Republic of The Congo","Sphyrna spp.",1
"Croatia ","Sphyrna spp.",1
"Ecuador","Sphyrna spp.",1
"El Salvador","Sphyrna spp.",1
"Ghana","Sphyrna spp.",0
"Guatemala","Sphyrna spp.",1
"Honduras","Sphyrna spp.",1
"India","Sphyrna spp.",0
"Ireland","Sphyrna spp.",1
"Japan","Sphyrna spp.",0
"Maldives","Sphyrna spp.",1
"Mali","Sphyrna spp.",1
"Mexico","Sphyrna spp.",1
"Morocco","Sphyrna spp.",0
"Mozambique","Sphyrna spp.",0
"Namibia","Sphyrna spp.",0
"New Zealand","Sphyrna spp.",1
"Niger","Sphyrna spp.",1
"Panama","Sphyrna spp.",1
"Paraguay","Sphyrna spp.",1
"Senegal","Sphyrna spp.",1
"Seychelles","Sphyrna spp.",1
"Sierra Leone","Sphyrna spp.",1
"Somalia","Sphyrna spp.",1
"Switzerland","Sphyrna spp.",1
"United States","Sphyrna spp.",1
"Yemen","Sphyrna spp.",1
"Argentina","Lamna nasus",1
"Australia","Lamna nasus",1
"Brazil","Lamna nasus",1
"Burkina Faso","Lamna nasus",1
"Canada","Lamna nasus",1
"Chile","Lamna nasus",0
"China","Lamna nasus",0
"Colombia","Lamna nasus",1
"Comoros","Lamna nasus",1
"Congo","Lamna nasus",1
"The Democratic Republic of The Congo","Lamna nasus",1
"Costa Rica","Lamna nasus",1
"Croatia ","Lamna nasus",1
"Denmark","Lamna nasus",1
"Ecuador","Lamna nasus",1
"Egypt","Lamna nasus",1
"El Salvador","Lamna nasus",1
"European Union","Lamna nasus",1
"Gambia","Lamna nasus",0
"Greenland","Lamna nasus",0
"Guatemala","Lamna nasus",1
"Guinea","Lamna nasus",0
"Honduras","Lamna nasus",1
"Iceland","Lamna nasus",0
"India","Lamna nasus",1
"Ireland","Lamna nasus",1
"Japan","Lamna nasus",0
"Republic of Korea","Lamna nasus",0
"Liberia","Lamna nasus",1
"Mali","Lamna nasus",1
"Mexico","Lamna nasus",1
"Morocco","Lamna nasus",0
"Mozambique","Lamna nasus",0
"New Zealand","Lamna nasus",1
"Niger","Lamna nasus",1
"Panama","Lamna nasus",1
"Paraguay","Lamna nasus",1
"Peru","Lamna nasus",1
"Senegal","Lamna nasus",1
"Seychelles","Lamna nasus",1
"Switzerland","Lamna nasus",1
"Thailand","Lamna nasus",0
"United States","Lamna nasus",1
"Argentina","Manta spp.",1
"Australia","Manta spp.",1
"Brazil","Manta spp.",1
"Cambodia","Manta spp.",0
"China","Manta spp.",0
